annee,region,age,taille,couleur_cheveux,longueur_cheveux,couleur_yeux,couleur_peau,laureat_culture_generale,est_tombee,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
2015,Guyane,19,171,Bruns,Longs,Marrons,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Île-de-France,23,175,Blonds,Longs,Bleus,Blanche,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1
2015,Languedoc,21,170,Blonds,Courts,Gris,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Limousin,19,172,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Lorraine,18,176,Bruns,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Martinique,19,171,Noirs,Mi-longs,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Mayotte,18,177,Bruns,Courts,Noirs,Noire,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Midi-Pyrénées,24,180,Noirs,Mi-longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Nord-Pas-de-Calais,19,179,Blonds,Longs,Verts,Blanche,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1
2015,Normandie,23,172,Noirs,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Nouvelle-Calédonie,19,173,Bruns,Longs,Noirs,Blanche,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1
2015,Orléanais,18,175,Noirs,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pays de la Loire,20,176,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pays de Savoie,18,175,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Picardie,21,176,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1
2015,Poitou-Charentes,19,173,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Provence,21,174,Chatains,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1
2015,Réunion,19,170,Noirs,Mi-longs,Noirs,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Rhône-Alpes,20,176,Bruns,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Roussillon,20,171,Blonds,Longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1
2015,Saint-Martin,19,173,Chatains,Mi-longs,Gris,Métisse,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tahiti,24,175,Noirs,Longs,Noirs,Métisse,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1
2016,Alsace,19,171,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1
2016,Aquitaine,22,171,Blonds,Mi-longs,Bleus,Blanche,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1
2016,Auvergne,18,171,Bruns,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Bourgogne,20,175,Chatains,Longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Bretagne,18,176,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1
2016,Centre-Val-de-Loire,18,176,Bruns,Mi-longs,Marrons,Métisse,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1
2016,Champagne-Ardenne,20,170,Chatains,Mi-longs,Marrons,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Corse,21,171,Chatains,Mi-longs,Verts,Blanche,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
