annee;audience;region;name;age;taille;couleur_cheveux;longueur_cheveux;couleur_yeux;couleur_peau;rang;laureat_culture_generale;est_tombee;image
2009;8,1;Île-de-France;Pauline Righini;20;171;Blonds;Courts;Gris;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/3/3e/%C3%8Ele-de-France_2008.jpg/revision/latest?cb=20150712174953&path-prefix=fr
2009;8,1;Languedoc-Roussillon;Cindy Filipiak;22;176;Noirs;Mi-longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/2/20/Languedoc-Roussillon_2008.jpg/revision/latest?cb=20150712175024&path-prefix=fr
2009;8,1;Limousin;Chloé Certoux;18;179;Bruns;Mi-longs;Bleus;Blanche;11.0;;0;https://static.wikia.nocookie.net/miss/images/a/a0/Limousin_2008.jpg/revision/latest?cb=20150712175039&path-prefix=fr
2009;8,1;Loire-Forez;Lauriane Perez;20;171;Noirs;Mi-longs;Noirs;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/2/2c/Loire-Forez_2008.jpg/revision/latest?cb=20150712175057&path-prefix=fr
2009;8,1;Lorraine;Camille Chéyère;21;179;Bruns;Longs;Bleus;Blanche;2.0;;0;https://static.wikia.nocookie.net/miss/images/5/59/Lorraine_2008.jpg/revision/latest?cb=20150712175113&path-prefix=fr
2009;8,1;Martinique;Laura Fidi;18;177;Bruns;Mi-longs;Noirs;Noire;;;0;https://static.wikia.nocookie.net/miss/images/c/ca/Martinique_2008.jpg/revision/latest?cb=20150712175127&path-prefix=fr
2009;8,1;Mayotte;Esthel Née;20;180;Noirs;Courts;Noirs;Métisse;4.0;;0;https://static.wikia.nocookie.net/miss/images/e/e2/Mayotte_2008.jpg/revision/latest?cb=20150712175145&path-prefix=fr
2009;8,1;Normandie;Johanna Moreau;23;180;Blonds;Mi-longs;Bleus;Blanche;9.0;;0;https://static.wikia.nocookie.net/miss/images/f/fa/Normandie_2008.jpg/revision/latest?cb=20150712175159&path-prefix=fr
2009;8,1;Nouvelle-Calédonie;Aurelia Morelli;20;175;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/7/7f/Nouvelle-Cal%C3%A9donie_2008.jpg/revision/latest?cb=20150712175213&path-prefix=fr
2009;8,1;Orléanais;Marion Tricot;19;175;Chatains;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/1/16/Orl%C3%A9anais_2008.jpg/revision/latest?cb=20150712175228&path-prefix=fr
2009;8,1;Paris;Sarah Barzyk;19;171;Noirs;Longs;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/6/62/Paris_2008.jpg/revision/latest?cb=20150712175242&path-prefix=fr
2009;8,1;Pays de Loire;Élodie Martineau;21;174;Bruns;Mi-longs;Noirs;Blanche;3.0;;0;https://static.wikia.nocookie.net/miss/images/5/5b/Pays_de_Loire_2008.jpg/revision/latest?cb=20150712175258&path-prefix=fr
2009;8,1;Pays de Savoie;Wendy Gex;19;179;Noirs;Courts;Marrons;Métisse;;;0;https://static.wikia.nocookie.net/miss/images/5/55/Pays_de_Savoie_2008.jpg/revision/latest?cb=20150712175315&path-prefix=fr
2009;8,1;Picardie;Katy Josse;22;170;Blonds;Courts;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/a/ac/Picardie_2008.jpg/revision/latest?cb=20150712175330&path-prefix=fr
2009;8,1;Poitou-Charentes;Mathilde Muller;19;171;Bruns;Mi-longs;Marrons;Blanche;6.0;;0;https://static.wikia.nocookie.net/miss/images/4/46/Poitou-Charentes_2008.jpg/revision/latest?cb=20150712175349&path-prefix=fr
2009;8,1;Provence;Laurie Imbert;19;171;Bruns;Mi-longs;Marrons;Métisse;;;0;https://static.wikia.nocookie.net/miss/images/b/b3/Provence_2008.jpg/revision/latest?cb=20150712175404&path-prefix=fr
2009;8,1;Quercy-Rouergue;Sophie Lopez;18;175;Chatains;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/7/70/Quercy-Rouergue_2008.jpg/revision/latest?cb=20150712175418&path-prefix=fr
2009;8,1;Réunion;Delphine Courteaud;22;172;Noirs;Mi-longs;Marrons;Blanche;10.0;;0;https://static.wikia.nocookie.net/miss/images/a/a2/R%C3%A9union_2008.jpg/revision/latest?cb=20150712175433&path-prefix=fr
2009;8,1;Rhône-Alpes;Armonie Jenton;18;174;Blonds;Mi-longs;Bleus;Blanche;7.0;;0;https://static.wikia.nocookie.net/miss/images/e/eb/Rh%C3%B4ne-Alpes_2008.jpg/revision/latest?cb=20150712175450&path-prefix=fr
2009;8,1;Saint-Pierre-et-Miquelon;Cathy Sabarots;22;170;Bruns;Courts;Bleus;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/7/7a/Saint-Pierre-et-Miquelon_2008.jpg/revision/latest?cb=20150712175505&path-prefix=fr
2009;8,1;Tahiti;Hinatea Boosie;20;170;Chatains;Longs;Noirs;Métisse;;;0;https://static.wikia.nocookie.net/miss/images/1/14/Tahiti_2008.jpg/revision/latest?cb=20150712175523&path-prefix=fr
2010;7,9;Albigeois Midi-Pyrénées;Laura Faroult;21;173;Bruns;Mi-longs;Verts;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/1/1f/Albigeois_Midi-Pyr%C3%A9n%C3%A9es_2009.jpg/revision/latest?cb=20181111132808&path-prefix=fr
2010;7,9;Alsace;Sophie Mathes;19;172;Bruns;Mi-longs;Marrons;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/4/4d/Alsace_2009.jpg/revision/latest?cb=20181111132831&path-prefix=fr
2010;7,9;Aquitaine;Aurélie Zengerlin;21;177;Bruns;Mi-longs;Verts;Blanche;;;0;https://static.wikia.nocookie.net/miss/images/5/5e/Aquitaine_2009.jpg/revision/latest?cb=20181111132852&path-prefix=fr
